Date,Open,High,Low,Close,Volume
16-Aug-17,228.26,229.01,225.00,225.61,2365900
15-Aug-17,229.57,230.61,227.50,227.59,1867043
14-Aug-17,226.37,229.83,226.30,227.36,2266069
11-Aug-17,225.07,226.68,222.65,224.15,2956601
10-Aug-17,229.02,229.45,225.47,225.50,3325531
9-Aug-17,230.32,231.49,229.06,231.01,2571146
8-Aug-17,232.40,235.83,231.70,232.05,3322548
7-Aug-17,229.80,233.13,229.29,232.92,3809764
4-Aug-17,226.05,229.79,225.06,229.79,3400343
3-Aug-17,226.00,226.74,223.97,223.99,2106377
2-Aug-17,226.40,227.73,225.57,226.27,1863287
1-Aug-17,227.09,228.62,226.73,227.00,2986784
31-Jul-17,-,225.50,-,225.33,1999637
28-Jul-17,221.77,223.67,220.86,223.61,2483233
27-Jul-17,221.84,222.71,220.43,221.48,2812519
26-Jul-17,222.45,223.74,221.87,222.25,2792457
25-Jul-17,220.34,222.87,220.18,221.58,3509470
24-Jul-17,218.94,219.73,218.00,218.18,3168178
21-Jul-17,221.89,222.31,219.09,220.18,3446620
20-Jul-17,223.00,224.76,221.61,222.30,3497758
19-Jul-17,222.91,224.20,221.67,222.87,4884634
18-Jul-17,227.50,230.36,222.76,223.31,6400673
17-Jul-17,228.73,229.64,227.21,229.26,2551771
14-Jul-17,227.22,229.61,225.10,228.60,3703571
13-Jul-17,227.39,230.64,226.95,230.40,2852577
12-Jul-17,226.40,229.02,226.07,227.39,2567280
11-Jul-17,226.04,227.95,224.67,226.95,2742870
10-Jul-17,224.27,227.34,223.96,225.84,2357526
7-Jul-17,228.23,228.49,224.42,225.28,2697551
6-Jul-17,227.97,230.06,225.25,226.69,3076622
5-Jul-17,228.38,228.92,225.21,228.04,2772023
3-Jul-17,224.46,229.07,223.42,227.28,2846554
30-Jun-17,225.31,226.05,221.54,221.90,3154274
29-Jun-17,228.37,228.79,223.03,224.41,5063410
28-Jun-17,221.87,224.63,220.75,223.22,3482752
27-Jun-17,221.84,222.41,219.56,220.28,2899441
26-Jun-17,218.26,221.97,217.70,220.44,2589455
23-Jun-17,220.50,220.69,216.46,217.19,4448712
22-Jun-17,221.44,221.90,219.29,219.77,3344571
21-Jun-17,224.54,224.93,221.93,222.49,3015320
20-Jun-17,225.51,226.54,224.19,225.10,2264178
