Date,Open,High,Low,Close,Volume
16-Aug-17,141.79,142.91,141.61,142.50,3272712
15-Aug-17,142.55,143.34,140.58,142.07,4681545
14-Aug-17,142.00,142.76,141.94,142.32,2248607
11-Aug-17,142.45,142.59,141.52,141.84,3004360
10-Aug-17,141.64,142.42,141.23,141.84,4525378
9-Aug-17,141.75,142.03,141.19,141.77,2925770
8-Aug-17,142.00,142.76,142.00,142.11,3298718
7-Aug-17,145.00,145.09,142.75,143.47,4618284
4-Aug-17,145.00,145.39,144.40,145.16,2549400
3-Aug-17,144.43,145.34,144.43,144.94,3035393
2-Aug-17,145.12,145.29,144.22,144.45,3540949
1-Aug-17,145.00,145.67,144.72,145.30,3219477
31-Jul-17,-,144.93,-,144.67,4355718
28-Jul-17,144.81,145.04,143.84,144.29,3054834
27-Jul-17,145.00,145.40,143.64,145.07,6430841
26-Jul-17,146.27,146.46,144.47,145.36,3932361
25-Jul-17,146.57,147.49,146.03,146.19,4208895
24-Jul-17,147.00,147.04,145.80,145.99,3877593
21-Jul-17,147.59,147.87,146.51,147.08,6509459
20-Jul-17,147.53,148.83,147.03,147.66,7212233
19-Jul-17,150.02,150.25,146.71,147.53,14293610
18-Jul-17,152.36,154.29,152.00,154.00,7566818
17-Jul-17,153.59,153.88,152.24,153.01,4762592
14-Jul-17,154.01,154.62,153.40,154.24,3256372
13-Jul-17,153.70,154.19,153.19,153.63,2476112
12-Jul-17,153.48,154.24,153.05,153.70,3097850
11-Jul-17,153.26,153.65,152.05,153.19,3447509
10-Jul-17,152.91,153.89,152.63,153.42,3206209
7-Jul-17,152.62,153.49,152.14,152.94,2460060
6-Jul-17,153.36,153.83,152.23,152.36,2757522
5-Jul-17,155.77,155.89,153.63,153.67,3564354
3-Jul-17,153.58,156.02,153.52,155.58,2822651
30-Jun-17,154.28,154.50,153.14,153.83,3571536
29-Jun-17,155.35,155.74,153.62,154.13,3262159
28-Jun-17,155.15,155.55,154.78,155.32,2220954
27-Jun-17,155.00,155.34,154.50,154.75,2386491
26-Jun-17,154.71,155.75,154.63,155.23,2153494
23-Jun-17,154.34,154.68,153.80,154.11,3282205
22-Jun-17,154.55,154.99,153.69,154.40,2376819
21-Jun-17,155.79,155.79,153.39,153.79,3959668
20-Jun-17,154.48,155.39,154.25,154.95,4481843
19-Jun-17,155.51,155.86,154.54,154.84,4629592
16-Jun-17,154.23,155.42,152.97,155.38,6741963
15-Jun-17,153.29,154.69,153.29,154.22,4654297
14-Jun-17,153.97,154.94,152.94,153.81,3049726
13-Jun-17,155.44,155.48,154.15,154.25,3523529
12-Jun-17,154.19,157.20,154.02,155.18,6471479
9-Jun-17,152.00,154.26,151.88,154.10,4361460
8-Jun-17,151.00,152.82,150.92,152.10,3708962
7-Jun-17,153.05,154.20,150.80,150.98,4865712
6-Jun-17,152.00,152.89,152.00,152.37,3797173
5-Jun-17,151.82,152.93,151.68,152.41,3975268
2-Jun-17,153.07,153.20,151.80,152.05,3585701
1-Jun-17,152.80,152.87,151.63,152.67,2918126
31-May-17,152.03,152.80,151.65,152.63,3543404
30-May-17,151.95,152.67,151.59,151.73,3666032
26-May-17,152.85,153.00,152.06,152.49,2443507
25-May-17,153.25,153.73,152.95,153.20,2582815
24-May-17,152.21,152.76,151.23,152.51,3732399
23-May-17,152.57,153.68,151.92,152.03,2564503
22-May-17,152.10,152.84,151.60,152.64,3302539
19-May-17,151.01,152.46,150.89,151.98,5643264
